	book_envelope_200d	book_pullback_ma20	book_pullback_ma5	daytrading_3methods_breakout	elder_ema_pullback	minervini_volume_dryup	rs_leader	combo_live_sum	KOSPI
2021H1	0.0	-0.06686073514474244	0.04387175050746506	0.15351717848645197	0.09139547703373663	0.018560893724066885	0.0	0.03435493780099619	0.054616996433086706
2021H2	0.015387708312336601	0.10798795951560147	-0.1075569767021215	0.13067298791204318	0.10980306161360143	-0.001693475523677046	0.1786591456468991	0.06234198260145707	-0.09677311719669213
2022H1	-0.05568305517245087	-0.06433970967787006	-0.19468110647304848	-0.09969207152714377	-0.22851431783071086	-0.13261357327936552	-0.3681437818320563	-0.16640885332615296	-0.21661713095897517
2022H2	0.08129720418895792	-0.051039665686991254	-0.11831805080223623	0.06138577797697731	0.07615646682824706	0.03495355559412183	-0.04535611417446206	0.0124933634635771	-0.04125797379792606
2023H1	0.1860553786348993	-0.010754217273621802	-0.047812930074855875	0.1243762301330722	0.3609038211442446	0.08041818864504457	0.8304618070891217	0.20535797455742566	0.14661062421749516
2023H2	0.08235595927556671	-0.12543113635253456	-0.16824711130455328	0.10058006210673875	0.01522736111496692	0.04447751052382287	0.08275302611775226	0.024886257156321978	0.035487544261939785
2024H1	0.07700052954842151	-0.029535187643982996	0.18249200323964176	0.07882535613813202	0.27877369879073655	-0.04021897411544828	0.23232287013259878	0.12088147625983559	0.053681720948452805
2024H2	-0.028765206663870502	-0.2245095600463206	-0.48393927258544644	-0.0013454984602593312	-0.16100832753171934	-0.03937025808965755	-0.10776528375933347	-0.11440449418738419	-0.14237156071512636
2025H1	0.037280927285603394	0.15872315652057467	0.0912123840072574	0.03718469136969782	0.38165208106604553	0.10761637149331538	0.34452251528461164	0.18121137018206546	0.28014703124414253
2025H2	0.05642456909627902	-0.028593241371770772	-0.2991131050617811	0.07184847345443668	0.27187260128584967	0.12615253599966314	0.0645939194507068	0.09659705175175404	0.37193410814858563
2026H1	0.09231140600677179	0.21733592973431626	0.21247162796892272	0.0765297563376206	0.2915277429647283	-0.0005119062389419282	0.38078412904249803	0.20247116959155398	1.0113450572710665
